id,type,title,bibcite_year,text_author,text_keyword,bibcite_secondary_title,bibcite_volume,bibcite_issue,bibcite_pages,bibcite_publisher,bibcite_isbn,bibcite_issn,bibcite_doi,bibcite_url,bibcite_citekey,status
16264,book,"Up close and personal: The teaching and learning of narrative research",2003,,"Education, Research",,,,,"American Psychological Association",,,,,,1
16265,journal_article,"Reading the Story Behind the Story: Context and Content in Stories by People with Dementia",2003,,,Generations,27,3,25-29,,0738-7806,,,,,1
16266,book,"Writers on writing : collected essays from The New York times",2001,,"Literature, Writing & Life Writing",,,,,"Times Books","0805067418 9780805067415 0805073612 9780805073614",,,,,1
16267,book,"Narratologies: New perspectives on narrative analysis",1999,,"Narratology, Research",,,,,"Ohio State University Press",,,,,,1
16268,book,"Inventing the truth: The art and craft of memoir",1987,,"Autobiography & Biography, Art, Writing & Life Writing",,,,,"Houghton Mifflin Co.",,,,,,1
16269,book_chapter,"Mind-reading,  a method for understanding the broken narrative of an aphasic man",2010,"T. Aaltonen","Therapy, Mental Health",,,,67-86,"John Benjamins Publishing Company",,,,,,1
16270,book,"Unsung voices: Opera and musical narrative in the nineteenth-century",1991,"Carolyn Abbate",Art,,,,,"Princeton University Press",,,,,,1
16271,book,"Boyhood, growing up male: A multicultural anthology",1998,,"Memory & Reminiscence, Gender",,,,,"University of Wisconsin Press",,,,,,1
16272,book_chapter,"Story, plot, and narration",2007,"H. Abbott","Literature, Narratology",,,,39-51,"Cambridge University Press",,,,,,1
16273,book_chapter,"Unnarratable knowledge: The difficulty of understanding evolution by natural selection",2003,"H. Abbott",Science,,,,143-162,"Center for the Study of Language and Information",,,,,,1
16274,journal_article,"The evolutionary origins of the storied mind: Modeling the prehistory of narrative consciousness and its discontents",2000,"H. Abbott",Narratology,Narrative,8,3,247-256,,,,,,,1
16275,journal_article,"What do we mean when we say  narrative literature ?  Looking for answers across disciplinary borders",2000,"H. Abbott","Literature, Narratology",Style,34,2,260-273,,,,,,,1
16276,book,"The Cambridge introduction to narrative",2002,"H. Abbott","Art, Theory, Culture",,,,,"Cambridge University Press","052165033X 9780521650335 0521659698 9780521659697",,,,,1
16277,book_chapter,"Narrative and life",2002,"H. Abbott","Literature, History",,,,1-11,"Cambridge UP",,,,,,1
16278,book_chapter,"Storytelling and political theory",1997,"Philip Abbott","Politics, Law, Theory",,,,281-306,"State University of New York Press",,,,,,1
16279,book_chapter,"Autobography: Quest for identity",1983,"P. Abbs","Autobiography & Biography, Identity",,,,509-522,Penguin,,,,,,1
16280,book_chapter,"Narrative and the discursive (re)construction of events",2000,"J. Abell, E. Stokoe, M. Billig","Psychology, Identity",,,,180-192,Routledge,,,,,,1
16281,journal_article,"Psychological status of the script concept",1981,"jr Abelson",Psychology,"American Psychologist",36,7,715-729,,,,,,,1
16282,book_chapter,"Toward an enactment centered theory of folklore",1977,"R Abrahams","Myth, Theory",,,,79-120,Westview,,,,,,1
16283,journal_article,"Storytelling as a pedgogical tool in higher education",1998,"C. Abrahamson",Education,Education,118,3,440-451,,,,,,,1
16284,book,"Writing women s worlds : Bedouin stories",1993,"Lila Abu-Lughod",,,,,,"University of California Press","0520079469 9780520079465 0520083040 9780520083042",,,,,1
16285,journal_article,"One way to bridge the two cultures: Advancing qualitative gerontology through professional autobiographies",1993,"W. Achenbaum","Culture, Anthropology, Gerontology & Aging, Research","Canadian Journal on Aging",12,2,143-156,,,,,,,1
16286,journal_article,"Reverence and recovery: Experiential personal construct psychotherapy and transpersonal reverence",2009,"Alexandra Adame, Larry Leitner","Therapy, Psychology","Journal of constructivist psychology",22,3,253-267,,,,,,,1
16287,journal_article,"Causality and narrative",1989,"Jon-K Adams",Narratology,Jou,18,,149-162,,,,,,,1
16288,book,"Renegotiating ethics in literature, philosophy, and theory",1998,,"Literature, Ethics & Morality, Theory",,,,,"Cambridge University Press",,,,,,1
16289,journal_article,"The narrative reconstruction of psychotherapy",2007,"Jonathan Adler, Dan McAdams","Therapy, Psychology, Theory","Narrative Inquiry",17,2,179-202,,,,,,,1
16290,book_chapter,Introduction,1997,"M. Aftel","Life Story, Literature",,,,15-20,"Simon & Schuster",,,,,,1
16291,book_chapter,"Every day I write the book: The stories of our lives",1997,"M. Aftel","Life Story, Writing & Life Writing, Literature",,,,21-33,"Simon & Schuster",,,,,,1
16292,book_chapter,"The telltale self: The narrator",1997,"M. Aftel","Literature, Life Story, Writing & Life Writing",,,,34-55,"Simon & Schuster",,,,,,1
16293,book,"The story of your life : becoming the author of your experience",1996,"M. Aftel","Life Story, Literature, Writing & Life Writing, Autobiography & Biography",,,,,"Simon & Schuster","0684815575 9780684815572",,,,,1
16294,book_chapter,"Writing and representation",2002,"P. Agre","Writing & Life Writing, Philosophy, Technology",,,,281-303,"John Benjamins Publishing",,,,,,1
16295,book,"Daily fare: Essays from the multicultural experience",1993,,"Identity, Culture, Memory & Reminiscence, Race & Ethnicity",,,,,"University of Georgia Press",,,,,,1
16296,book,"Not Your Average ""Joe""",2003,"L. Aiton","Autobiography & Biography, History",,,,588,"Linda Aiton",0-9732070-0-0,,,,,1
16297,journal_article,"Impossible storyworlds &mdash; and what to do with them",2009,"J. Alber",Literature,Storyworlds,1,,79-96,,,,,,,1
16298,journal_article,"The  moreness  of  lessness  of  natural  narratology: Samuel Beckett s  lessness  reconsidered",2002,"J. Alber",Narratology,Style,36,1,54-75,,,,,,,1
16299,journal_article,"Unnatural narratives, unnatural narratology: Beyond mimetic models",2010,"J. Alber, Stefan Iversen, Henrik Nielsen, Brian Richardson",Narratology,Narrative,18,2,113-136,,,,,,,1
16300,journal_article,"5 * Narrative",2007,"Thomas Albrecht, Celine Surprenant",,"The year s work in critical and cultural theory.",15,,79,,1077-4254,,,,,1
16301,journal_article,"Literary and psychological models of the self",1994,"D. Albright","Literature, Psychology, Identity","Emory Symposia in Cognition",,"The remembering self: Construction and accuracy in the self-narrative",19-40,,,,,,,1
16302,book,"Analyzing world fiction: New horizons in narrative theory",2011,,"Narratology, Science, Theory, Culture",,,,,"University of Texas Press",,,,,,1
16303,book_chapter,Ethnicity,2010,"F. Aldama","Narratology, Race & Ethnicity, Education",,,,252-265,"The Modern Language Association of America",,,,,,1
16304,journal_article,"Why are you telling me that?: A conceptual model of the social function of autobiographical memory",2003,"N. Alea, S. Bluck","Autobiography & Biography, Memory & Reminiscence, Culture",Memory,11,2,165-178,,,,10.1080/741938207,,,1
16305,book,"Personology: Method and content in personality assessment and psychobiography",1990,"I. Alexander","Psychology, Autobiography & Biography",,,,,"Duke University Press",,,,,,1
16306,book_chapter,"Biographical learning: Theoretical outline, challenges, and contradictions of a new approach in adult education",1995,"P. Alheit","Autobiography & Biography, Education, Theory",,,,57-74,"Verband Wiener Voksbildung",,,,,,1
16307,conference_proceedings,"The biographical approach in European adult education",1995,"P. Alheit","Autobiography & Biography, Education, Subcultures",,,,,"Verband Wiener Volksbildung",,,,,,1
16308,book,"The biographical approach in European adult education",1995,,"Autobiography & Biography, Education",,,,,"Verband Wiener Volksbildung",,,,,,1
16309,journal_article,"The anti-subjective hypothesis: Michel Foucault and the death of the subject",2000,"A. Allen","Discourse, Sexuality","The Philosophical Forum",31,2,113-130,,,,,,,1
16310,journal_article,"When narrative fails",1993,"R. Allen","Community, Ethics & Morality, Literature","Journal of Religious Ethics",21,1,27-67,,,,,,,1
16311,book,"The use of personal documents in psychological research",1942,"G. Allport","Psychology, Identity",,,,,"Social Science Research Council",,,,,,1
16312,book,"The art of biblical narrative",1981,"Robert Alter","Narratology, Religious Studies, Theology",,,,,"Basic Books",,,,,,1
16313,book,"Something to declare",1998,"J. Alvarez","Autobiography & Biography, Writing & Life Writing",,,,,"Algonquin Books",,,,,,1
16314,journal_article,"Linguistic predictors of trauma pathology and physical health",2001,"J. Alvarez-Conrad, L. Zoellner, E. Foa","Language & Linguistics, Trauma, Death & Dying, Mental Health, Therapy","Applied Cognitive Psychology",15,7,159-170,,,,,,,1
16315,journal_article,"Relationship between trauma narratives and trauma pathology",1998,"N. Amir, J. Stafford, M. Freshman, E. Foa","Trauma, Mental Health, Memory & Reminiscence","Journal of Traumatic Stress",11,2,385-392,,,,,,,1
16316,book_chapter,"Reflecting processes; acts of informing and forming: You can borrow my eyes, but you must not take them away from me!",1995,"T. Andersen","Therapy, Psychology",,,,11-37,"Guilford Press",,,,,,1
16317,book,"Conversation, language, and possibilities: A postmodern approach to therapy",1996,"H. Anderson","Therapy, Language & Linguistics",,,,,"Basic Books",,,,,,1
16318,book_chapter,"Beyond narrative: The shape of traumatic testimony",2010,"M. Andrews","Trauma, Language & Linguistics",,,,147-166,"John Benjamins Publishing",,,,,,1
16319,book_chapter,Introduction,2000,"M. Andrews",Psychology,,,,77-80,Routledge,,,,,,1
16320,book,"The uses of narrative: Explorations in sociology, psychology, and cultural studies",2009,,"Memory & Reminiscence, Sociology, Psychology, Culture, Autobiography & Biography",,,,,Routledge,,,,,,1
16321,book,"Lines of narrative: Psychosocial perspectives",2000,,"Sociology, Psychology, Theory, Research",,,,202,Routledge,0415242339,,,,,1
16322,book_chapter,Introduction,2000,"M. Andrews, S. Sclater, C. Squire, A. Treacher",Psychology,,,,1-10,Routledge,0415242339,,,,,1
16323,book,"Doing narrative research",2008,,"Research, Theory",,,,,Sage,,,,,,1
16324,book,"Opportunity house: Ethnographic stories of mental retardation",1997,"M. Angrosino","Mental Health, Disability, Subcultures, Life Story",,,,,"AltaMira Press",,,,,,1
16325,journal_article,"Metaphors of stigma: How deinstitutionalized mentally retarded adults see themselves",1992,"M. Angrosino","Mental Health, Life Story, Culture, Identity","Journal of Contemporary Ethnography",21,2,171-199,,,,,,,1
